,,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,time_of_day,average_split
y,263,3x10' @20,2021-11-16,Rowing,7167.0,1800.0,,,,3.981666667,,,,20.0,,02:05.5
y,321,UT2,2021-11-16,Rowing,12566.0,3690.0,,,,3.405420054,,,,20.0,,02:23.2
x,516,S&C,2021-11-15,WeightTraining,0.0,5185.0,5185.0,0.0,2.0,0.0,0.0,126.7,156.0,0.0,06:51:07,
x,517,4x,2021-11-14,Rowing,13999.0,5958.0,4260.0,5.2,10.0,3.286,4.944,123.8,147.0,22.5,12:23:49,
x,518,Row back to quintin,2021-11-13,Rowing,7260.6,3672.0,3185.0,4.0,9.0,2.28,2.876,126.2,156.0,20.0,11:27:14,
x,519,Fours head 4+,2021-11-13,Rowing,7545.5,1710.0,1624.0,14.7,17.0,4.646,5.256,142.9,156.0,27.8,10:56:38,
x,520,3x2k,2021-11-12,Rowing,0.0,2186.0,2186.0,0.0,6.0,0.0,0.0,165.7,192.0,23.4,17:17:03,
x,521,S&C,2021-11-12,WeightTraining,0.0,4419.0,4419.0,0.0,2.0,0.0,0.0,115.3,138.0,0.0,06:54:47,
x,522,12x1’,2021-11-11,Rowing,0.0,1421.0,1421.0,0.0,5.0,0.0,0.0,169.2,187.0,28.8,17:20:17,
y,266,12x1',2021-11-11,Rowing,3201.0,720.0,,,,4.445833333,,,,,,01:52.4
x,523,4+,2021-11-10,Rowing,13832.8,5821.0,4428.0,5.2,7.0,3.124,4.714,124.9,148.0,21.1,14:38:29,
x,524,S&C,2021-11-10,WeightTraining,0.0,4982.0,4982.0,0.0,6.0,0.0,0.0,124.9,161.0,0.0,06:57:22,
x,525,30r20,2021-11-09,Rowing,0.0,1811.0,1811.0,0.0,5.0,0.0,0.0,178.8,193.0,20.4,17:21:29,
x,526,Morning Run,2021-11-09,Run,7156.4,2766.0,2702.0,57.0,19.0,2.649,3.997,147.6,163.0,82.4,07:35:29,
y,356,,2021-11-09,Run,7150.0,2702.0,,,,2.646188009,,,,,,00:00.0
x,527,UT2,2021-11-08,Rowing,0.0,3696.0,3696.0,0.0,1.0,0.0,0.0,154.6,167.0,20.2,15:00:00,
x,528,S&C,2021-11-08,WeightTraining,0.0,5301.0,5301.0,0.0,1.0,0.0,0.0,120.5,159.0,0.0,06:53:30,
y,320,UT2,2021-11-08,Rowing,13002.0,3690.0,,,,3.523577236,,,,20.0,,02:18.4
x,529,2k,2021-11-05,Rowing,0.0,572.0,572.0,0.0,6.0,0.0,0.0,178.6,193.0,29.7,17:29:43,
x,530,S&C,2021-11-05,WeightTraining,0.0,3724.0,3724.0,0.0,1.0,0.0,0.0,119.2,154.0,0.0,06:59:19,
y,256,2k test,2021-11-05,Rowing,2000.0,465.3,,,,4.298302171,,,,,,01:56.3
x,531,UT2,2021-11-04,Rowing,0.0,3097.0,3097.0,0.0,3.0,0.0,0.0,152.0,163.0,20.2,15:22:36,
y,319,UT2,2021-11-04,Rowing,10753.0,3000.0,,,,3.584333333,,,,20.0,,02:19.5
x,532,2x,2021-11-03,Rowing,11040.8,4458.0,3817.0,2.4,12.0,2.893,4.756,120.2,141.0,19.7,15:37:09,
x,533,S&C,2021-11-03,WeightTraining,0.0,3121.0,3121.0,0.0,3.0,0.0,0.0,124.9,151.0,0.0,06:54:24,
x,534,2k prep,2021-11-02,Rowing,0.0,1486.0,1486.0,0.0,5.0,0.0,0.0,154.6,184.0,28.4,18:14:42,
x,535,Morning Run,2021-11-02,Run,7350.3,2581.0,2500.0,65.0,10.0,2.94,3.9,150.8,169.0,82.8,10:58:05,
x,536,S&C,2021-11-01,WeightTraining,0.0,2827.0,2827.0,0.0,1.0,0.0,0.0,118.8,150.0,0.0,15:34:11,
x,537,UTAH 8+,2021-10-31,Rowing,6652.2,3534.0,1868.0,0.0,10.0,3.561,4.98,128.3,151.0,26.0,13:30:18,
x,538,UTAH 4+,2021-10-31,Rowing,5647.1,3651.0,1834.0,0.0,6.0,3.079,3.924,123.9,145.0,24.2,10:31:55,
x,539,4+,2021-10-30,Rowing,11863.2,5093.0,3980.0,5.2,5.0,2.981,4.504,125.4,154.0,21.4,12:03:17,
x,540,UT2,2021-10-29,Rowing,0.0,3695.0,3695.0,0.0,4.0,0.0,0.0,153.5,163.0,20.1,18:11:54,
x,541,S&C,2021-10-29,WeightTraining,0.0,4483.0,4483.0,0.0,0.0,0.0,0.0,124.0,150.0,0.0,06:51:39,
y,318,UT2,2021-10-29,Rowing,13082.0,3690.0,,,,3.545257453,,,,20.0,,02:17.6
x,542,3x2k,2021-10-28,Rowing,0.0,1831.0,1831.0,0.0,4.0,0.0,0.0,174.3,192.0,25.7,17:19:28,
x,543,Morning Run,2021-10-28,Run,8014.7,2779.0,2755.0,85.0,12.0,2.909,8.863,157.3,169.0,83.0,08:18:25,
y,281,3x2k,2021-10-28,Rowing,6000.0,1470.4,,,,4.080522307,,,,,,02:02.5
y,354,,2021-10-28,Run,8010.0,2755.0,,,,2.907441016,,,,,,00:00.0
x,544,8+,2021-10-27,Rowing,14845.5,6020.0,4761.0,0.0,13.0,3.118,4.772,129.4,166.0,20.4,14:27:58,
x,545,S&C,2021-10-27,WeightTraining,0.0,4531.0,4531.0,0.0,2.0,0.0,0.0,120.3,149.0,0.0,06:55:15,
x,546,2x15’,2021-10-26,Rowing,0.0,1909.0,1909.0,0.0,2.0,0.0,0.0,175.4,190.0,20.4,18:19:15,
y,273,2x15',2021-10-26,Rowing,7092.0,1800.0,,,,3.94,,,,,,02:05.8
x,547,UT2,2021-10-25,Rowing,0.0,3697.0,3697.0,0.0,5.0,0.0,0.0,155.1,163.0,20.1,15:05:03,
x,548,S&C,2021-10-25,WeightTraining,0.0,4337.0,4337.0,0.0,1.0,0.0,0.0,128.7,170.0,0.0,06:53:16,
